From	To
A0A096LP01	SMIM26
A0A0U1RRL7	MMP24OS
A0A6I8PU40	TUG1
A0AV96	RBM47
A0AVF1	IFT56
A0AVI4	TMEM129
A0AVT1	UBA6
A0FGR8	ESYT2
A0JNW5	BLTP3B
A0MZ66	SHTN1
A0PJW6	TMEM223
A0PK00	TMEM120B
A1A4S6	ARHGAP10
A1L0T0	ILVBL
A1L390	PLEKHG3
A1X283	SH3PXD2B
A2A288	ZC3H12D
A2A3N6	PIPSL
A2RRP1	NBAS
A2RTX5	TARS3
A2RUB6	CCDC66
A2RUC4	TYW5
A2RUS2	DENND3
A3KMH1	VWA8
A3KN83	SBNO1
A4D126	CRPPA
A4D1B5	GSAP
A4D1E9	GTPBP10
A4D1P6	WDR91
A4D1U4	DENND11
A4FU49	SH3D21
A5D8V6	VPS37C
A5PLL7	PEDS1
A5PLN9	TRAPPC13
A5YKK6	CNOT1
A5YM69	ARHGEF35
A6NC98	CCDC88B
A6NCN2	KRT87P
A6NDG6	PGP
A6NDU8	RIMOC1
A6NED2	RCCD1
A6NFI3	ZNF316
A6NFX1	MFSD2B
A6NFY7	SDHAF1
A6NGG8	PCARE
A6NHL2	TUBAL3
A6NHR9	SMCHD1
A6NHX0	CASTOR2
A6NI79	CCDC69
A6NIH7	UNC119B
A6NJ78	METTL15
A6NJG2	SOWAHD
A6NKF1	SAC3D1
A7E2V4	ZSWIM8
A8CG34	POM121C
A8MVS5	HIDE1
A8MVU1	NCF1C
A8MW92	PHF20L1
A8MXV4	NUDT19
A8MYB1	TMCO5B
A9UHW6	MIF4GD
B0I1T2	MYO1G
B1AJZ9	FHAD1
B2RPK0	HMGB1P1
B2RTY4	MYO9A
B2RUZ4	SMIM1
B4DJY2	TMEM233
B7ZAP0	RABGAP1L
C9J202	ALG1L2
C9J7I0	UMAD1
C9JLW8	MCRIP1
C9JRZ8	AKR1B15
E9PAV3	NACA
F5H4A9	C3orf80
G9CGD6	CNK3/IPCEF1
L0R6Q1	SLC35A4
L0R819	ASDURF
O00115	DNASE2
O00116	AGPS
O00124	UBXN8
O00139	KIF2A
O00141	SGK1
O00142	TK2
O00148	DDX39A
O00151	PDLIM1
O00154	ACOT7
O00159	MYO1C
O00160	MYO1F
O00161	SNAP23
O00165	HAX1
O00170	AIP
O00178	GTPBP1
O00182	LGALS9
O00186	STXBP3
O00189	AP4M1
O00193	SMAP
O00194	RAB27B
O00203	AP3B1
O00214	LGALS8
O00217	NDUFS8
O00221	NFKBIE
O00231	PSMD11
O00232	PSMD12
O00233	PSMD9
O00238	BMPR1B
O00241	SIRPB1
O00244	ATOX1
O00255	MEN1
O00257	CBX4
O00258	GET1
O00264	PGRMC1
O00267	SUPT5H
O00268	TAF4
O00273	DFFA
O00287	RFXAP
O00291	HIP1
O00299	CLIC1
O00303	EIF3F
O00308	WWP2
O00329	PIK3CD
O00330	PDHX
O00338	SULT1C2
O00391	QSOX1
O00398	P2RY10
O00399	DCTN6
O00400	SLC33A1
O00410	IPO5
O00411	POLRMT
O00418	EEF2K
O00421	CCRL2
O00422	SAP18
O00429	DNM1L
O00442	RTCA
O00443	PIK3C2A
O00459	PIK3R2
O00461	GOLIM4
O00462	MANBA
O00468	AGRN
O00469	PLOD2
O00471	EXOC5
O00478	BTN3A3
O00479	HMGN4
O00483	NDUFA4
O00487	PSMD14
O00488	ZNF593
O00499	BIN1
O00505	KPNA3
O00506	STK25
O00512	BCL9
O00519	FAAH
O00522	KRIT1
O00534	VWA5A
O00541	PES1
O00560	SDCBP
O00562	PITPNM1
O00566	MPHOSPH10
O00567	NOP56
O00571	DDX3X
O00584	RNASET2
O00592	PODXL
O00602	FCN1
O00625	PIR
O00629	KPNA4
O00635	TRIM38
O00716	E2F3
O00743	PPP6C
O00746	NME4
O00748	CES2
O00750	PIK3C2B
O00754	MAN2B1
O00757	FBP2
O00762	UBE2C
O00763	ACACB
O00764	PDXK
O00767	SCD
O14492	SH2B2
O14494	PLPP1
O14495	PLPP3
O14497	ARID1A
O14508	SOCS2
O14523	C2CD2L
O14526	FCHO1
O14545	TRAFD1
O14548	COX7A2L
O14578	CIT
O14579	COPE
O14593	RFXANK
O14617	AP3D1
O14618	CCS
O14626	GPR171
O14638	ENPP3
O14639	ABLIM1
O14641	DVL2
O14646	CHD1
O14647	CHD2
O14653	GOSR2
O14656	TOR1A
O14657	TOR1B
O14662	STX16
O14672	ADAM10
O14678	ABCD4
O14683	TP53I11
O14686	KMT2D
O14727	APAF1
O14730	RIOK3
O14732	IMPA2
O14734	ACOT8
O14735	CDIPT
O14737	PDCD5
O14744	PRMT5
O14745	NHERF1
O14763	TNFRSF10B
O14772	FPGT
O14773	TPP1
O14775	GNB5
O14776	TCERG1
O14777	NDC80
O14786	NRP1
O14787	TNPO2
O14795	UNC13B
O14802	POLR3A
O14815	CAPN9
O14818	PSMA7
O14828	SCAMP3
O14832	PHYH
O14841	OPLAH
O14867	BACH1
O14874	BCKDK
O14879	IFIT3
O14880	MGST3
O14893	GEMIN2
O14907	TAX1BP3
O14908	GIPC1
O14920	IKBKB
O14924	RGS12
O14925	TIMM23
O14929	HAT1
O14933	UBE2L6
O14936	CASK
O14939	PLD2
O14949	UQCRQ
O14950	MYL12B
O14964	HGS
O14966	RAB29
O14967	CLGN
O14972	VPS26C
O14974	PPP1R12A
O14975	SLC27A2
O14976	GAK
O14979	HNRNPDL
O14980	XPO1
O14981	BTAF1
O15014	ZNF609
O15020	SPTBN2
O15021	MAST4
O15027	SEC16A
O15031	PLXNB2
O15037	KHNYN
O15040	TECPR2
O15042	U2SURP
O15047	SETD1A
O15061	SYNM
O15067	PFAS
O15083	ERC2
O15084	ANKRD28
O15085	ARHGEF11
O15111	CHUK
O15116	LSM1
O15117	FYB1
O15118	NPC1
O15120	AGPAT2
O15121	DEGS1
O15126	SCAMP1
O15127	SCAMP2
O15143	ARPC1B
O15144	ARPC2
O15145	ARPC3
O15160	POLR1C
O15162	PLSCR1
O15164	TRIM24
O15169	AXIN1
O15173	PGRMC2
O15204	ADAMDEC1
O15211	RGL2
O15212	PFDN6
O15213	WDR46
O15226	NKRF
O15228	GNPAT
O15229	KMO
O15231	ZNF185
O15234	CASC3
O15235	MRPS12
O15243	LEPROT
O15247	CLIC2
O15254	ACOX3
O15258	RER1
O15260	SURF4
O15264	MAPK13
O15265	ATXN7
O15269	SPTLC1
O15270	SPTLC2
O15294	OGT
O15296	ALOX15B
O15305	PMM2
O15321	TM9SF1
O15327	INPP4B
O15347	HMGB3
O15355	PPM1G
O15357	INPPL1
O15371	EIF3D
O15372	EIF3H
O15379	HDAC3
O15381	NVL
O15382	BCAT2
O15389	SIGLEC5
O15397	IPO8
O15400	STX7
O15427	SLC16A3
O15431	SLC31A1
O15438	ABCC3
O15439	ABCC4
O15440	ABCC5
O15446	POLR1G
O15460	P4HA2
