,term_name,rank,p_value,z_score,combined_score,adj_p_value,genes,n_genes,db,significant,sample_id,direction
0,cell cycle r-hsa-1640170,1,4.287186492665392e-23,4.44362848821289,228.86387046647545,4.6258742255859583e-20,"AKT3,ATRIP,BANF1,BLM,BRIP1,BUB1,BUB1B,CCNA2,CCNB1,CCNB2,CDC25B,CDC25C,CDCA5,CDK1,CDK2,CDK6,CDKN2C,CHEK1,CHEK2,CKAP5,CKS1B,DSCC1,DYNLL2,EXO1,FBXO5,GINS1,GINS3,GINS4,GMNN,HAUS7,HSP90AB1,KIF20A,KNL1,KNTC1,LCMT1,MAD2L1,MASTL,MCM10,MCPH1,MND1,NCAPD2,NCAPG,NCAPH,NDC80,NEK7,NUF2,OPTN,ORC6,PCNA,POLA2,POLD3,PPME1,PPP1R12B,PRIM1,PSMC3IP,PTTG1,RAD51C,RBBP8,RMI1,RMI2,RNF168,RRM2,SET,SKA2,SKP2,SMC4,SSNA1,TK1,TPX2,TUBA8,TUBB2A,TYMS,UBB,UBE2C,UBE2N,YWHAQ",76,Reactome_2022,True,D_only,both
1,"cell cycle, mitotic r-hsa-69278",2,4.112779063484663e-18,4.283027987131659,171.4600296587198,2.218844304749976e-15,"AKT3,BANF1,BUB1,BUB1B,CCNA2,CCNB1,CCNB2,CDC25B,CDC25C,CDCA5,CDK1,CDK2,CDK6,CDKN2C,CKAP5,CKS1B,DYNLL2,FBXO5,GINS1,GINS3,GINS4,GMNN,HAUS7,HSP90AB1,KIF20A,KNL1,KNTC1,LCMT1,MAD2L1,MASTL,MCM10,MCPH1,NCAPD2,NCAPG,NCAPH,NDC80,NEK7,NUF2,OPTN,ORC6,PCNA,POLA2,POLD3,PPME1,PPP1R12B,PRIM1,PTTG1,RRM2,SET,SKA2,SKP2,SMC4,SSNA1,TK1,TPX2,TUBA8,TUBB2A,TYMS,UBB,UBE2C",60,Reactome_2022,True,D_only,both
2,cell cycle checkpoints r-hsa-69620,3,1.53419144630292e-10,4.2686750348675035,96.46286717796626,5.517975235202836e-08,"ATRIP,BLM,BRIP1,BUB1,BUB1B,CCNA2,CCNB1,CCNB2,CDC25C,CDK1,CDK2,CHEK1,CHEK2,CKAP5,DYNLL2,EXO1,KNL1,KNTC1,MAD2L1,MCM10,NDC80,NUF2,ORC6,RBBP8,RMI1,RMI2,RNF168,SKA2,UBB,UBE2C,UBE2N,YWHAQ",32,Reactome_2022,True,D_only,both
3,dna double-strand break repair r-hsa-5693532,4,1.8002755535772366e-09,5.464076416677424,110.02096047659526,4.856243305774595e-07,"ATRIP,BLM,BRIP1,CCNA2,CDK2,CHEK1,CHEK2,DCLRE1C,EXO1,NHEJ1,PCNA,POLD3,POLH,POLL,RAD51AP1,RAD51C,RBBP8,RMI1,RMI2,RNF168,UBB,UBE2N",22,Reactome_2022,True,D_only,both
4,condensation of prometaphase chromosomes r-hsa-2514853,5,3.363312008728128e-09,72.296,1410.5195140052715,7.258027314835301e-07,"CCNB1,CCNB2,CDK1,NCAPD2,NCAPG,NCAPH,SMC4",7,Reactome_2022,True,D_only,both
5,regulation of tp53 activity r-hsa-5633007,6,4.9004431010751105e-09,5.138142076502732,98.31290326752884,8.812630176766741e-07,"AKT3,ATRIP,BLM,BRIP1,CCNA2,CDK1,CDK2,CHEK1,CHEK2,EXO1,JMY,MAP2K6,MAPK11,PIP4K2A,PPP1R13L,PRKAB2,RBBP8,RMI1,RMI2,TAF9B,TPX2,UBB",22,Reactome_2022,True,D_only,both
6,signaling by rho gtpases r-hsa-194315,7,1.3598217201713508e-08,2.6518212087579456,48.03330507342678,1.8035106901433527e-06,"ABI1,ABI2,ANLN,ARHGAP12,ARHGAP44,BTK,BUB1,BUB1B,CDC25C,CDC37,CDC42EP1,CKAP5,CTNNA1,CTTN,CYFIP1,DNMBP,DOCK6,DOCK9,DSG2,DVL2,DYNLL2,FNBP1L,HSP90AB1,KNL1,KNTC1,MAD2L1,MAPK11,MYO6,NDC80,NUF2,PKN3,PLEKHG2,PPP1R12B,PRAG1,PTK2,PTPN13,RACGAP1,RNF20,RRAS2,SKA2,SLK,SRF,STK38,TAX1BP3,TRIP10,UACA,VIM,WASF1,YWHAQ",49,Reactome_2022,True,D_only,both
7,g2/m dna damage checkpoint r-hsa-69473,8,1.5254380557707663e-08,7.5701887384325826,136.25127836933834,1.8035106901433527e-06,"ATRIP,BLM,BRIP1,CCNB1,CDC25C,CDK1,CHEK1,CHEK2,EXO1,RBBP8,RMI1,RMI2,RNF168,UBE2N,YWHAQ",15,Reactome_2022,True,D_only,both
8,dna repair r-hsa-73894,9,1.6861065562115038e-08,3.529118136439268,63.16506933863197,1.8035106901433527e-06,"ALKBH2,ATRIP,BLM,BRIP1,CCNA2,CDK2,CHD1L,CHEK1,CHEK2,DCLRE1C,DTL,EXO1,FTO,NEIL2,NHEJ1,PARG,PCLAF,PCNA,POLD3,POLH,POLL,RAD51AP1,RAD51C,RBBP8,RMI1,RMI2,RNF168,UBB,UBE2N,UNG,XPA",31,Reactome_2022,True,D_only,both
9,hdr thru homologous recombination (hrr) r-hsa-5685942,10,1.7896465006982903e-08,8.255785552909568,147.27217321775672,1.8035106901433527e-06,"ATRIP,BLM,BRIP1,CHEK1,EXO1,PCNA,POLD3,POLH,RAD51AP1,RAD51C,RBBP8,RMI1,RMI2,UBB",14,Reactome_2022,True,D_only,both
