,term_name,rank,p_value,z_score,combined_score,adj_p_value,genes,n_genes,db,significant,sample_id,direction
0,neutrophil degranulation r-hsa-6798695,1,1.7962263713703133e-58,7.4664646610393675,992.7728543172765,2.0728452325613415e-55,"ADA2,ADAM10,ADAM8,AGA,AGPAT2,AHSG,ALDH3B1,ANPEP,ANXA2,ARL8A,ARSA,ARSB,ASAH1,ATP6V0A1,ATP6V0C,AZU1,B2M,BPI,BST1,C3,CD300A,CD36,CD59,CD63,CD68,CD93,CDA,CFP,CHI3L1,CKAP4,CR1,CREG1,CST3,CTSA,CTSD,CTSG,CYBA,CYBB,CYSTM1,DDOST,DGAT1,DNAJC3,DNAJC5,EGFL7,ELANE,EPX,FCER1G,FCGR2A,FGL2,FGR,FTL,FUCA1,FUCA2,GLB1,GLIPR1,GM2A,GNS,GPR84,GRN,GSN,GUSB,HEXB,HGSNAT,HLA-A,HLA-B,HLA-C,HPSE,HVCN1,ITGAM,ITGAX,ITGB2,KRT1,LAMP1,LAMP2,LAMTOR1,LGALS3,LILRB2,LRG1,LTF,LYZ,MAN2B1,MCEMP1,MGST1,MLEC,MNDA,MOSPD2,MPO,NFAM1,ORM1,P2RX1,PECAM1,PLAUR,PPBP,PRCP,PRTN3,PTPRC,PTPRJ,QSOX1,RAB31,RAB37,RAB44,RAB5B,RAB5C,RAB7A,RAP1B,RAP2B,RNASE2,RNASE3,S100A8,S100A9,S100P,SERPINA1,SERPINB10,SIRPA,SIRPB1,SLC2A3,SLPI,SURF4,SYNGR1,TBC1D10C,TCIRG1,TIMP2,TLR2,TMC6,TMEM179B,TMEM30A,TNFRSF1B,TRPM2,TSPAN14,TTR,TYROBP,UNC13D,VAT1,VNN1",134,Reactome_2022,True,D_only,up
1,innate immune system r-hsa-168249,2,6.464173282417107e-41,3.837513697796177,355.1224188547572,3.7298279839546706e-38,"ADA2,ADAM10,ADAM8,AGA,AGPAT2,AHSG,AKR1C1,ALDH3B1,ANPEP,ANXA2,ARL8A,ARSA,ARSB,ASAH1,ATP6V0A1,ATP6V0A2,ATP6V0C,ATP6V0D1,AZU1,B2M,BPI,BST1,C3,C4A,C5,C8A,CARD9,CD180,CD209,CD300A,CD36,CD59,CD63,CD68,CD93,CDA,CFB,CFI,CFP,CHI3L1,CKAP4,COLEC10,CR1,CREG1,CST3,CTSA,CTSD,CTSG,CTSL,CYBA,CYBB,CYSTM1,DDOST,DGAT1,DNAJC3,DNAJC5,EGFL7,ELANE,EPX,FCER1G,FCGR1A,FCGR2A,FGB,FGG,FGL2,FGR,FTL,FUCA1,FUCA2,GLB1,GLIPR1,GM2A,GNS,GPR84,GRN,GSN,GUSB,HCK,HEXB,HGSNAT,HLA-A,HLA-B,HLA-C,HLA-E,HPSE,HRAS,HSP90B1,HVCN1,ICAM3,IGLL5,ISG15,ITGAM,ITGAX,ITGB2,ITPR1,KRT1,LAMP1,LAMP2,LAMTOR1,LGALS3,LILRB2,LRG1,LTF,LY86,LYZ,MAN2B1,MCEMP1,MEFV,MGST1,MLEC,MNDA,MOSPD2,MPO,MYH2,NCF2,NCF4,NFAM1,NFATC2,NLRX1,ORM1,P2RX1,P2RX7,PECAM1,PLAUR,PLD4,PPBP,PRCP,PROS1,PRTN3,PSTPIP1,PTPRC,PTPRJ,QSOX1,RAB31,RAB37,RAB44,RAB5B,RAB5C,RAB7A,RAP1B,RAP2B,RASGRP2,RELB,RNASE2,RNASE3,RNASE6,S100A8,S100A9,S100P,SERPINA1,SERPINB10,SIRPA,SIRPB1,SLC2A3,SLPI,SURF4,SYNGR1,TBC1D10C,TCIRG1,TIMP2,TLR2,TMC6,TMEM179B,TMEM30A,TNFRSF1B,TRPM2,TSPAN14,TTR,TYROBP,UNC13D,UNC93B1,VAT1,VNN1,VTN,YES1",175,Reactome_2022,True,D_only,up
2,immune system r-hsa-168256,3,7.966489349757995e-35,2.783289067928685,218.5305934102884,3.064442903206909e-32,"ADA2,ADAM10,ADAM8,AGA,AGPAT2,AHSG,AKR1C1,ALDH3B1,ANPEP,ANXA1,ANXA2,AP1S3,ARL8A,ARSA,ARSB,ASAH1,ATP6V0A1,ATP6V0A2,ATP6V0C,ATP6V0D1,AZU1,B2M,BCL2L11,BPI,BST1,BTN2A2,C3,C4A,C5,C8A,CANX,CARD9,CCL5,CD180,CD209,CD300A,CD300LF,CD36,CD59,CD63,CD68,CD70,CD86,CD93,CDA,CEBPD,CFB,CFI,CFP,CHI3L1,CKAP4,COL1A2,COLEC10,CR1,CREG1,CSF2RA,CST3,CTSA,CTSD,CTSG,CTSL,CTSO,CYBA,CYBB,CYSTM1,DDOST,DGAT1,DNAJC3,DNAJC5,EGFL7,ELANE,ENAH,EPX,FBXL20,FCER1G,FCER2,FCGR1A,FCGR2A,FCGR2B,FGB,FGG,FGL2,FGR,FN1,FTL,FUCA1,FUCA2,FYB1,GBP5,GLB1,GLIPR1,GM2A,GNS,GPR84,GRN,GSN,GUSB,HCK,HEXB,HGSNAT,HLA-A,HLA-B,HLA-C,HLA-DRA,HLA-DRB1,HLA-DRB3,HLA-E,HLA-F,HLA-G,HPSE,HRAS,HSP90B1,HSPA5,HVCN1,ICAM1,ICAM3,ICAM4,IFI30,IFIT1,IFITM3,IGLL5,IL17RA,IL1RAP,IL3RA,IRS2,ISG15,ITGAM,ITGAX,ITGB2,ITGB7,ITPR1,JAK2,KLHL13,KRT1,LAMP1,LAMP2,LAMTOR1,LGALS3,LILRA2,LILRB1,LILRB2,LILRB4,LONP1,LRG1,LTF,LY86,LYZ,MAN2B1,MCEMP1,MEFV,MGRN1,MGST1,MLEC,MMP2,MNDA,MOSPD2,MPO,MRC2,MT2A,MYH2,NCF2,NCF4,NFAM1,NFATC2,NLRX1,NUP210,OAS2,ORM1,P2RX1,P2RX7,P4HB,PAG1,PDIA3,PECAM1,PLAUR,PLD4,PML,PPBP,PRCP,PROS1,PRTN3,PSTPIP1,PTPRC,PTPRJ,QSOX1,RAB31,RAB37,RAB44,RAB5B,RAB5C,RAB7A,RAP1B,RAP2B,RASGRP2,RELB,RNASE2,RNASE3,RNASE6,RNF130,S100A8,S100A9,S100P,SEC61A1,SEC61A2,SERPINA1,SERPINB10,SIRPA,SIRPB1,SLC2A3,SLPI,STX3,STX4,SURF4,SYNGR1,TAPBP,TBC1D10C,TCIRG1,THEM4,TIMP1,TIMP2,TLR2,TMC6,TMEM179B,TMEM30A,TNFRSF12A,TNFRSF1B,TNFSF14,TNFSF9,TRIM14,TRIM71,TRPM2,TSPAN14,TTR,TWIST1,TYROBP,ULBP1,UNC13D,UNC93B1,VAT1,VEGFA,VNN1,VTN,WWP1,YES1",244,Reactome_2022,True,D_only,up
3,regulation of igf transport and uptake by igfbps r-hsa-381426,4,3.5681282332398143e-23,9.291283348666054,480.2424274768365,1.0294049952896864e-20,"ADAM10,AHSG,ALB,APOA1,APOE,C3,C4A,CKAP4,CP,CST3,CTSG,DNAJC3,F5,FGG,FN1,FSTL1,FUCA2,GAS6,GOLM1,GPC3,HSP90B1,IGF1,IGF2,IGFBP2,IGFBP3,IGFBP4,IGFBP5,IGFBP7,ITIH2,KLKB1,MMP2,MXRA8,NUCB1,P4HB,PDIA6,PLG,QSOX1,SERPINA1,SERPINC1,SERPIND1,STC2,TF,TIMP1",43,Reactome_2022,True,D_only,up
4,response to elevated platelet cytosolic ca2+ r-hsa-76005,5,4.39671408592303e-22,8.540525965168289,419.98902940611856,1.0147616110310354e-19,"AHSG,ALB,ANXA5,APOA1,APOH,APOOL,CD109,CD36,CD63,CLEC3B,CYB5R1,F5,FGB,FGG,FN1,GAS6,HSPA5,IGF1,IGF2,ITIH3,ITIH4,LAMP2,LGALS3BP,ORM1,PCYOX1L,PECAM1,PLG,PPBP,PROS1,QSOX1,RARRES2,SCCPDH,SERPINA1,SERPINA4,SERPINF2,SPARC,STX4,TF,THBS1,TIMP1,TOR4A,TTR,VEGFA",43,Reactome_2022,True,D_only,up
5,platelet degranulation r-hsa-114608,6,6.706756956683424e-22,8.737752480510276,425.99825702510515,1.2899329213354454e-19,"AHSG,ALB,ANXA5,APOA1,APOH,APOOL,CD109,CD36,CD63,CLEC3B,CYB5R1,F5,FGB,FGG,FN1,GAS6,HSPA5,IGF1,IGF2,ITIH3,ITIH4,LAMP2,LGALS3BP,ORM1,PCYOX1L,PECAM1,PLG,PPBP,PROS1,QSOX1,RARRES2,SCCPDH,SERPINA1,SERPINA4,SERPINF2,SPARC,TF,THBS1,TIMP1,TOR4A,TTR,VEGFA",42,Reactome_2022,True,D_only,up
6,hemostasis r-hsa-109582,7,7.993947375899158e-20,3.3669166706476217,148.0534846106466,1.3178593245410898e-17,"ABHD12,AHSG,ALB,ANXA2,ANXA5,APOA1,APOH,APOOL,ATP1B1,ATP2A2,ATP2A3,CD109,CD36,CD63,CD84,CLEC3B,CYB5R1,F5,F9,FCER1G,FGB,FGG,FGR,FN1,GAS6,GATA2,GNA15,GNAI1,GNAI2,GNAQ,GNG11,GNG7,HBG1,HRAS,HSPA5,IGF1,IGF2,IGLL1,IGLL5,ITGAM,ITGAX,ITGB2,ITIH3,ITIH4,ITPR1,JAK2,KIF21A,KLKB1,LAMP2,LGALS3BP,MAFG,MGLL,NFE2,ORM1,P2RX1,P2RX4,P2RX7,PCYOX1L,PECAM1,PLAUR,PLG,PPBP,PRCP,PROS1,PRTN3,QSOX1,RAP1B,RARRES2,RASGRP2,RNASE3,S100A9,SCCPDH,SERPINA1,SERPINA4,SERPINC1,SERPIND1,SERPINF2,SIRPA,SLC16A3,SLC3A2,SLC7A11,SLC7A5,SPARC,STX4,TF,THBD,THBS1,TIMP1,TOR4A,TTR,VEGFA,YES1",92,Reactome_2022,True,D_only,up
7,post-translational protein phosphorylation r-hsa-8957275,8,3.861295347651879e-19,8.83781666231392,374.70675886728213,5.569918538987835e-17,"ADAM10,AHSG,ALB,APOA1,APOE,C3,C4A,CKAP4,CP,CST3,DNAJC3,F5,FGG,FN1,FSTL1,FUCA2,GAS6,GOLM1,GPC3,HSP90B1,IGFBP3,IGFBP4,IGFBP5,IGFBP7,ITIH2,MXRA8,NUCB1,P4HB,PDIA6,QSOX1,SERPINA1,SERPINC1,SERPIND1,STC2,TF,TIMP1",36,Reactome_2022,True,D_only,up
8,"platelet activation, signaling and aggregation r-hsa-76002",9,6.72359622195707e-19,4.917104000902883,205.74880980911922,8.621144489042733e-17,"ABHD12,AHSG,ALB,ANXA5,APOA1,APOH,APOOL,CD109,CD36,CD63,CLEC3B,CYB5R1,F5,FCER1G,FGB,FGG,FN1,GAS6,GNA15,GNAI1,GNAI2,GNAQ,GNG11,GNG7,HSPA5,IGF1,IGF2,ITIH3,ITIH4,ITPR1,LAMP2,LGALS3BP,MGLL,ORM1,PCYOX1L,PECAM1,PLG,PPBP,PROS1,QSOX1,RAP1B,RARRES2,RASGRP2,RNASE3,SCCPDH,SERPINA1,SERPINA4,SERPINF2,SPARC,STX4,TF,THBS1,TIMP1,TOR4A,TTR,VEGFA",56,Reactome_2022,True,D_only,up
9,metabolism r-hsa-1430728,10,3.3998990419093503e-16,2.0195109750695694,71.9301659135003,3.923483494363391e-14,"ABCD1,ABHD3,ACADVL,ACSL3,ACSM3,ACSS2,ACY3,ADCY9,ADIPOQ,ADPGK,AGPAT2,AGRN,AKR1C1,ALB,ALDH3B1,ALDH4A1,ALDOB,APOA1,APOC2,APOC3,APOE,APOM,ARSA,ARSB,ARSD,ASAH1,ATP5F1D,B3GALT6,BCKDK,BLVRA,BST1,CA2,CA3,CD36,CDA,CERS2,CHPF2,CHPT1,CHST11,CHST12,CHST13,CHST14,CHST3,CKB,CKM,COX14,COX18,COX6A1,CPT1A,CROT,CS,CSPG4,CTSA,CYP2W1,CYP4V2,CYP51A1,DDAH1,DGAT1,DHCR24,DPYS,ECI2,EGFL7,ENTPD1,ESYT1,ETFDH,EXT1,FABP1,FABP7,FADS2,FAR1,FAR2,FAU,FBP1,FDFT1,FMOD,FUT7,GALC,GAPDHS,GBA2,GC,GGT1,GLB1,GLIPR1,GM2A,GNA15,GNAI1,GNAI2,GNAQ,GNG11,GNG7,GNS,GPAT3,GPC3,GPD2,GPT2,GSTA5,GSTM3,GUSB,HADHA,HEXA,HEXB,HMGCR,HPSE,HSD17B10,HSD17B4,HYAL3,IDUA,IL4I1,ISCA1,ITPR1,LDHD,LPCAT2,LPCAT3,LPL,LUM,MAN2B1,MAP4K2,MARCKS,MBOAT7,MBTPS2,MGLL,MGST1,MGST2,MLYCD,MPC1,MTHFD2,NADK,NCOA1,NDST2,NDUFA1,NDUFA13,NDUFA3,NDUFA8,NDUFAF3,NDUFAF4,NDUFB1,NDUFB10,NDUFB2,NDUFB7,NDUFB9,NDUFS2,NDUFS4,NDUFS5,NDUFS7,NDUFS8,NME3,NNT,NUP210,OGN,OPLAH,ORMDL2,PDK2,PECR,PLD4,PLD6,PNPLA6,PON2,PPARD,PRNP,PTDSS2,PTGDS,PTGS1,RBP1,RBP4,RPL3L,RPS4Y2,SACM1L,SDHB,SDHD,SERINC5,SGPP1,SH2D3C,SLC16A3,SLC25A10,SLC25A11,SLC25A20,SLC26A2,SLC2A3,SLC35B2,SLC3A2,SLC44A1,SLC7A5,SMPD1,SQOR,ST3GAL2,ST3GAL4,SULT1A1,SULT1E1,SYNJ2,TECR,THEM4,TIMMDC1,TK2,TM7SF2,TNFAIP8,TNFAIP8L3,TPST2,TSPO,TTR,VKORC1,VKORC1L1,VNN1,ZDHHC21",203,Reactome_2022,True,D_only,up
