ReporterName	PlexID	QuantBlock	ReporterAlias	MeasurementName
127N	1	1	MOLM14 Late Gilteritinib Resistant Flask 5L (baseline) Tube_1	Tube_1
132N	1	1	2 HR: MOLM14 Late Gilteritinib Resistant Flask 5L + 5 然 NRAS ASO	Tube_4
133C	1	1	2 HR: MOLM14 Late Gilteritinib Resistant Flask 5L + 5 然 NRAS ASO + 100 nM GILT	Tube_7
128N	1	1	2 HR: MOLM14 Late Gilteritinib Resistant Flask 5L + 5 然 CTRL ASO	Tube_10
128C	1	1	2 HR: MOLM14 Late Gilteritinib Resistant Flask 5L + 5 然 CTRL ASO + 100 nM GILT	Tube_13
130N	1	1	MOLM14 Late Gilteritinib Resistant Flask 5L (baseline) Tube_18	Tube_18
130C	1	1	6 HR: MOLM14 Late Gilteritinib Resistant Flask 5L + 5 然 NRAS ASO	Tube_21
127C	1	1	6 HR: MOLM14 Late Gilteritinib Resistant Flask 5L + 5 然 NRAS ASO + 100 nM GILT	Tube_24
131C	1	1	6 HR: MOLM14 Late Gilteritinib Resistant Flask 5L + 5 然 CTRL ASO	Tube_27
129N	1	1	6 HR: MOLM14 Late Gilteritinib Resistant Flask 5L + 5 然 CTRL ASO + 100 nM GILT	Tube_30
126	1	1	MOLM14 Late Gilteritinib Resistant Flask 5L (baseline) Tube_35	Tube_35
133N	1	1	24 HR: MOLM14 Late Gilteritinib Resistant Flask 5L + 5 然 NRAS ASO	Tube_38
131N	1	1	24 HR: MOLM14 Late Gilteritinib Resistant Flask 5L + 5 然 NRAS ASO + 100 nM GILT	Tube_41
129C	1	1	24 HR: MOLM14 Late Gilteritinib Resistant Flask 5L + 5 然 CTRL ASO	Tube_44
132C	1	1	24 HR: MOLM14 Late Gilteritinib Resistant Flask 5L + 5 然 CTRL ASO + 100 nM GILT	Tube_47
134N	1	1	ref	NA
127C	2	1	MOLM14 Late Gilteritinib Resistant Flask 7L (baseline) Tube_2	Tube_2
133C	2	1	2 HR: MOLM14 Late Gilteritinib Resistant Flask 7L + 5 然 NRAS ASO	Tube_5
130C	2	1	2 HR: MOLM14 Late Gilteritinib Resistant Flask 7L + 5 然 NRAS ASO + 100 nM GILT	Tube_8
127N	2	1	2 HR: MOLM14 Late Gilteritinib Resistant Flask 7L + 5 然 CTRL ASO	Tube_11
128C	2	1	2 HR: MOLM14 Late Gilteritinib Resistant Flask 7L + 5 然 CTRL ASO + 100 nM GILT	Tube_14
128N	2	1	MOLM14 Late Gilteritinib Resistant Flask 7L (baseline) Tube_19	Tube_19
126	2	1	6 HR: MOLM14 Late Gilteritinib Resistant Flask 7L + 5 然 NRAS ASO	Tube_22
132N	2	1	6 HR: MOLM14 Late Gilteritinib Resistant Flask 7L + 5 然 NRAS ASO + 100 nM GILT	Tube_25
133N	2	1	6 HR: MOLM14 Late Gilteritinib Resistant Flask 7L + 5 然 CTRL ASO	Tube_28
131N	2	1	6 HR: MOLM14 Late Gilteritinib Resistant Flask 7L + 5 然 CTRL ASO + 100 nM GILT	Tube_31
130N	2	1	MOLM14 Late Gilteritinib Resistant Flask 7L (baseline) Tube_36	Tube_36
132C	2	1	24 HR: MOLM14 Late Gilteritinib Resistant Flask 7L + 5 然 NRAS ASO	Tube_39
131C	2	1	24 HR: MOLM14 Late Gilteritinib Resistant Flask 7L + 5 然 NRAS ASO + 100 nM GILT	Tube_42
129N	2	1	24 HR: MOLM14 Late Gilteritinib Resistant Flask 7L + 5 然 CTRL ASO	Tube_45
129C	2	1	24 HR: MOLM14 Late Gilteritinib Resistant Flask 7L + 5 然 CTRL ASO + 100 nM GILT	Tube_48
134N	2	1	ref	NA
133C	3	1	MOLM14 Late Gilteritinib Resistant Flask 8L (baseline) Tube_3	Tube_3
128N	3	1	2 HR: MOLM14 Late Gilteritinib Resistant Flask 8L + 5 然 NRAS ASO	Tube_6
130N	3	1	2 HR: MOLM14 Late Gilteritinib Resistant Flask 8L + 5 然 NRAS ASO + 100 nM GILT	Tube_9
129C	3	1	2 HR: MOLM14 Late Gilteritinib Resistant Flask 8L + 5 然 CTRL ASO	Tube_12
127N	3	1	2 HR: MOLM14 Late Gilteritinib Resistant Flask 8L + 5 然 CTRL ASO + 100 nM GILT	Tube_15
128C	3	1	MOLM14 Late Gilteritinib Resistant Flask 8L (baseline) Tube_20	Tube_20
132N	3	1	6 HR: MOLM14 Late Gilteritinib Resistant Flask 8L + 5 然 NRAS ASO	Tube_23
126	3	1	6 HR: MOLM14 Late Gilteritinib Resistant Flask 8L + 5 然 NRAS ASO + 100 nM GILT	Tube_26
133N	3	1	6 HR: MOLM14 Late Gilteritinib Resistant Flask 8L + 5 然 CTRL ASO	Tube_29
132C	3	1	6 HR: MOLM14 Late Gilteritinib Resistant Flask 8L + 5 然 CTRL ASO + 100 nM GILT	Tube_32
127C	3	1	MOLM14 Late Gilteritinib Resistant Flask 8L (baseline) Tube_37	Tube_37
131C	3	1	24 HR: MOLM14 Late Gilteritinib Resistant Flask 8L + 5 然 NRAS ASO	Tube_40
131N	3	1	24 HR: MOLM14 Late Gilteritinib Resistant Flask 8L + 5 然 NRAS ASO + 100 nM GILT	Tube_43
129N	3	1	24 HR: MOLM14 Late Gilteritinib Resistant Flask 8L + 5 然 CTRL ASO	Tube_46
130C	3	1	24 HR: MOLM14 Late Gilteritinib Resistant Flask 8L + 5 然 CTRL ASO + 100 nM GILT	Tube_49
134N	3	1	ref	NA
